sep=,
type_sped,block,code,required,in_required,out_required,level,card,spec_required,spec_in,spec_out,desc,register,index,code,type,required,in_required,out_required,conditional_required,conditional_out_required,conditional_in_required,length,xsd_type,decimal,spec_type,spec_required,spec_in,spec_out,values,spec_values,rules,desc
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,3,VL_OR,float,True,,,,,,,,02,N,O,,,,,,Valor da obrigação a recolher
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,4,DT_VCTO,date,True,,,,,,008*,,,N,O,,,,,,Data de vencimento da obrigação
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,5,COD_REC,char,True,,,,,,,,,C,O,,,,,,"Código de receita referente à obrigação, próprio da unidade da federação, conforme legislação estadual,"
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,6,NUM_PROC,char,,,,True,,,060,,,C,OC,,,,,,"Número do processo ou auto de infração ao qual a obrigação está vinculada, se houver."
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,7,IND_PROC,char,,,,True,,,001*,,,C,OC,,,,,,Indicador da origem do processo: 0- SEFAZ; 1- Justiça Federal; 2- Justiça Estadual; 9- Outros
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,8,PROC,char,,,,True,,,,,,C,OC,,,,,,Descrição resumida do processo que embasou o lançamento
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,9,TXT_COMPL,char,,,,True,,,,,,C,OC,,,,,,Descrição complementar das obrigações a recolher.
EFD-ICMS-IPI,1,1926,True,,,5,1:N,O,,,Obrigações do ICMS A Recolher – Operações referentes à Sub-apuração,1926,10,MES_REF,char,True,,,,,,006*,numeric_code,,N,O,,,,,,Informe o mês de referência no formato “mmaaaa”
EFD-ICMS-IPI,0,0210,True,,,3,1:N,O,,,Consumo Específico Padronizado,0210,2,COD_ITEM_COMP,char,True,,,,,,60,,,C,O,,,,,,Código do item componente/insumo (campo 02 do Registro 0200)
EFD-ICMS-IPI,0,0210,True,,,3,1:N,O,,,Consumo Específico Padronizado,0210,3,QTD_COMP,float,True,,,,,,,,6,N,O,,,,,,Quantidade do item componente/insumo para se produzir uma unidade do item composto/resultante
EFD-ICMS-IPI,0,0210,True,,,3,1:N,O,,,Consumo Específico Padronizado,0210,4,PERDA,float,True,,,,,,,,4,N,O,,,,,,Perda/quebra normal percentual do insumo/componente para se produzir uma unidade do item composto/resultante
